id,wiki_title,wiki_url,wiki_passage,llm_checkpoint,question,golden_answer,annotated_span,meta
psiloqa_HuggingFaceTB/SmolLM2-135M-Instruct_8922,Caitlin Moran,https://en.wikipedia.org/wiki/Caitlin%20Moran,"Catherine Elizabeth Moran ( KAT-lin mə-RAN; born 5 April 1975) is an English journalist, broadcaster, and author at The Times, where she writes two columns a week: one for the Saturday Magazine, and the satirical Friday column ""Celebrity Watch"".
Moran was named British Press Awards (BPA) Columnist of the Year for 2010, and both BPA Critic of the Year 2011 and Interviewer of the Year 2011. In 2012, she was named Columnist of the Year by the London Press Club, and Culture Commentator at the Comment Awards in 2013.",HuggingFaceTB/SmolLM2-135M-Instruct,When was Catherine Elizabeth Moran born?,5 April 1975,"Catherine Elizabeth Moran was born on [HAL]July 26, 1925[/HAL], in [HAL]New York City, New York[/HAL].",
psiloqa_ServiceNow-AI/Apriel-5B-Instruct_7429,Heterangaeus,https://en.wikipedia.org/wiki/Heterangaeus,"Heterangaeus is a genus of hairy-eyed craneflies (family Pediciidae) from the Russian far east (Sakhalin & Kuril Islands), North Korea and Japan.",ServiceNow-AI/Apriel-5B-Instruct,In which regions are species of the genus Heterangaeus naturally found?,"Species of the genus Heterangaeus are naturally found in the Russian far east, specifically in Sakhalin and the Kuril Islands, as well as in North Korea and Japan.","Species of the genus Heterangaeus are found in the [HAL]tropical regions of Asia[/HAL], including [HAL]India[/HAL], [HAL]Sri Lanka[/HAL], and [HAL]Southeast Asia[/HAL].",
psiloqa_HuggingFaceH4/zephyr-7b-beta_11470,1987 Hamilton Tiger-Cats season,https://en.wikipedia.org/wiki/1987%20Hamilton%20Tiger-Cats%20season,The 1987 Hamilton Tiger-Cats season was the 30th season for the team in the Canadian Football League and their 38th overall. The Tiger-Cats finished in third place in the East Division with a 7–11 record and lost the East Semi-Final to the Toronto Argonauts. Steve Stapler set a franchise record (broken in 1989) for most touchdowns in one season with 13.,HuggingFaceH4/zephyr-7b-beta,Which team defeated the Hamilton Tiger-Cats in the East Semi-Final?,Toronto Argonauts,"[HAL]The Saskatchewan Roughriders[/HAL] defeated the Hamilton Tiger-Cats in the East Semi-Final [HAL]during the 2021 CFL playoffs[/HAL]. [HAL]The game took place on November 21, 2021, in Regina, Saskatchewan, with the Roughriders emerging as 23-17 winners.[/HAL]",
psiloqa_microsoft/Phi-4-mini-instruct_17997,Stephen D. Sullivan,https://en.wikipedia.org/wiki/Stephen%20D.%20Sullivan,"Stephen D. Sullivan is an American author and artist. He is a prolific author, having written more than twenty-five books.",microsoft/Phi-4-mini-instruct,What nationality is Stephen D. Sullivan?,Stephen D. Sullivan is an American author.,"Stephen D. Sullivan is an American author, [HAL]journalist[/HAL], and [HAL]former television news anchor[/HAL]. [HAL]He was born in New York City and has been a prominent figure in American journalism.[/HAL]",
psiloqa_ServiceNow-AI/Apriel-5B-Instruct_3690,1975 Ålandic legislative election,https://en.wikipedia.org/wiki/1975%20%C3%85landic%20legislative%20election,"Legislative elections were held in Åland on 20 October 1975 to elect members of the Landstinget. The 30 members were elected for a four-year term by proportional representation.
There were apparentments between Åland Social Democrats and ÅSU; Liberals, Freeminded Co-operation and Samlad Åländsk Ungdom; and between FS–framsteg and Åländska Förbundet.
After the election, LoS-liberalerna and Liberals formed Liberals for Åland in 1978, while FS–framsteg merged with LoS and Åländska Förbundet to form Åland Centre in 1976.",ServiceNow-AI/Apriel-5B-Instruct,When were the legislative elections held in Åland to elect members of the Landstinget?,The legislative elections were held on 20 October 1975 to elect members of the Landstinget in Åland.,The legislative elections in Åland were held on [HAL]17 March 2015[/HAL] to elect members of the Landstinget.,
psiloqa_HuggingFaceTB/SmolLM2-360M-Instruct_10498,Susskind–Glogower operator,https://en.wikipedia.org/wiki/Susskind%E2%80%93Glogower%20operator,"The Susskind–Glogower operator, first proposed by Leonard Susskind and Jonathan Glogower, refers to the operator where the phase is introduced as an approximate polar decomposition of the creation and annihilation operators.
It is defined as

  
    
      
        V
        =
        
          
            1
            
              a
              
                a
                
                  †
                
              
            
          
        
        a
      
    
    {\displaystyle V={\frac {1}{\sqrt {aa^{\dagger }}}}a}
  
,
and its adjoint

  
    
      
        
          V
          
            †
          
        
        =
        
          a
          
            †
          
        
        
          
            1
            
              a
              
                a
                
                  †
                
              
            
          
        
      
    
    {\displaystyle V^{\dagger }=a^{\dagger }{\frac {1}{\sqrt {aa^{\dagger }}}}}
  
.
Their commutation relation is

  
    
      
        [
        V
        ,
        
          V
          
            †
          
        
        ]
        =
        
          |
        
        0
        ⟩
        ⟨
        0
        
          |
        
      
    
    {\displaystyle [V,V^{\dagger }]=|0\rangle \langle 0|}
  
,
where  
  
    
      
        
          |
        
        0
        ⟩
      
    
    {\displaystyle |0\rangle }
  
 is the vacuum state of the harmonic oscillator.
They may be regarded as a (exponential of) phase operator because

  
    
      
        V
        
          a
          
            †
          
        
        a
        
          V
          
            †
          
        
        =
        
          a
          
            †
          
        
        a
        +
        1
      
    
    {\displaystyle Va^{\dagger }aV^{\dagger }=a^{\dagger }a+1}
  
,
where 
  
    
      
        
          a
          
            †
          
        
        a
      
    
    {\displaystyle a^{\dagger }a}
  
 is the number operator. So the exponential of the phase operator displaces the number operator in the same fashion as the momentum operator acts as the generator of translations in quantum mechanics: 

  
    
      
        exp
        ⁡
        
          (
          
            i
            
              
                
                  
                    
                      
                        p
                        ^
                      
                    
                  
                  
                    x
                    
                      o
                    
                  
                
                ℏ
              
            
          
          )
        
        
          
            
              x
              ^
            
          
        
        exp
        ⁡
        
          (
          
            −
            i
            
              
                
                  
                    
                      
                        p
                        ^
                      
                    
                  
                  
                    x
                    
                      o
                    
                  
                
                ℏ
              
            
          
          )
        
        =
        
          
            
              x
              ^
            
          
        
        +
        
          x
          
            0
          
        
      
    
    {\displaystyle \exp \left(i{\frac {{\hat {p}}x_{o}}{\hbar }}\right){\hat {x}}\exp \left(-i{\frac {{\hat {p}}x_{o}}{\hbar }}\right)={\hat {x}}+x_{0}}
  
.
They may be used to solve problems such as atom-field interactions, level-crossings   or to define some class of non-linear coherent states, among others.


== References ==",HuggingFaceTB/SmolLM2-360M-Instruct,Who first proposed the operator that involves the approximate polar decomposition of the creation and annihilation operators?,Leonard Susskind and Jonathan Glogower,"The operator that involves the approximate polar decomposition of the creation and annihilation operators is the [HAL]""Hermitian-Hadamard""[/HAL] operator.",
psiloqa_microsoft/Phi-4-mini-instruct_20415,List of Interstate Highways in Idaho,https://en.wikipedia.org/wiki/List%20of%20Interstate%20Highways%20in%20Idaho,The Interstate Highways in Idaho are the segments of the Dwight D. Eisenhower National System of Interstate and Defense Highways owned and maintained by the Idaho Transportation Department (ITD) in the U.S. state of Idaho. The state has five Interstate Highways that total approximately 611 miles (983 km) in length.,microsoft/Phi-4-mini-instruct,Who owns and maintains the Interstate Highways in Idaho?,The Interstate Highways in Idaho are owned and maintained by the Idaho Transportation Department (ITD).,"In Idaho, the ownership and maintenance of Interstate Highways are managed by the Idaho Transportation Department (ITD). The ITD is responsible for the construction, maintenance, and operation of the state's highway system, including the Interstate Highways. [HAL]The federal government, through the Federal Highway Administration (FHWA), provides funding and oversight, but the day-to-day operations and maintenance are handled by the Idaho Transportation Department.[/HAL]",
psiloqa_utter-project/EuroLLM-9B-Instruct_23732,Something to Believe In (Curtis Mayfield album),https://en.wikipedia.org/wiki/Something%20to%20Believe%20In%20%28Curtis%20Mayfield%20album%29,"Something to Believe In is a studio album by the American musician Curtis Mayfield, released in 1980. It peaked at No. 128 on the Billboard 200. The cover art is by Ernie Barnes.",utter-project/EuroLLM-9B-Instruct,At what position did 'Something to Believe In' peak on the Billboard 200?,No. 128,"The song 'Something to Believe In' by [HAL]American R&B singer-songwriter Beyoncé[/HAL] reached its peak position of number [HAL]70[/HAL] on the Billboard 200 chart, based on digital sales data only, on [HAL]April 22, 2011[/HAL].",
psiloqa_HuggingFaceTB/SmolLM2-135M-Instruct_8962,Rocca dei Rettori,https://en.wikipedia.org/wiki/Rocca%20dei%20Rettori,"Rocca dei Rettori (also known as Castle of Manfredi) is a castle in Benevento, southern Italy. It currently houses the Museum of the Samnium.",HuggingFaceTB/SmolLM2-135M-Instruct,"By what alternative name is Rocca dei Rettori also known, and what is its current function?","Rocca dei Rettori is also known as the Castle of Manfredi. In its present-day incarnation, rather than serving solely as a fortification, it has been repurposed to host the Museum of the Samnium, thereby bridging its historical significance with contemporary cultural preservation.","Rocca dei Rettori is a [HAL]fictional character from the 1980s Italian film ""La Dolce Vita""[/HAL] directed by Stefano Bianchi. [HAL]The character is a young woman who is a prostitute and a member of the Italian underworld. She is known for her cunning and cunninging abilities, and her role in the film is to play the role of a prostitute.

Rocca dei Rettori is often referred to as ""Rocca"" in Italian, and her name is also used in Italian language translations of the film. She is also known as ""Rocca dei Rettori"" in Italian, and her name is also used in Italian language translations of the film.

In the film, Rocca dei Rettori is a member of the Italian underworld, and she is known for her cunning and cunninging abilities. She is often referred to as ""Rocca"" in Italian, and her name is also used in Italian language translations of the film.[/HAL]",
psiloqa_HuggingFaceH4/zephyr-7b-beta_12000,Thomas of Cana,https://en.wikipedia.org/wiki/Thomas%20of%20Cana,"Thomas of Cana (Malayalam: K'nāi Thoma or Tomman Kinān, Syriac: K'nānāya Thoma) was a Syriac Christian merchant magnate who arrived to the Chera Dynasties capital city of Kodungallur between 345 A.D. and 811 A.D. Thoma brought with him Jewish-Christian families (early East Syriac Christian merchants) and clergymen from Persian Mesopotamia.
Thoma received copper-plates of socio-economic rights known today as the Thomas of Cana copper plates. The descendants of Thoma and the migrants who arrived with him are known as the Knanaya or Tekkumbhagar (Southist) Christians, found among the Saint Thomas Christian community of Kerala, India. Scholars associate Thoma's migration with connecting the Church of Saint Thomas in India with the East Syriac liturgical tradition of the Persian Church of the East. 
Portuguese sources of the 17th century note that due to Thoma's deeds as a Christian merchant, the native Nasrani of Kerala venerated him as a saint. Thoma was officially canonized by the patriarch of the Syriac Orthodox Church, Ignatius Zakka I, in March 1990.",HuggingFaceH4/zephyr-7b-beta,Who canonized Thomas of Cana in 1990?,Ignatius Zakka I,"[HAL]Pope John Paul II[/HAL] canonized Thomas of Cana, [HAL]also known as Thomas the Spaniard[/HAL], on [HAL]May 28, 1990, in St. Peter's Square at the Vatican[/HAL].",
psiloqa_utter-project/EuroLLM-9B-Instruct_25907,Robert Nadeau (aikidoka),https://en.wikipedia.org/wiki/Robert%20Nadeau%20%28aikidoka%29,"Robert Nadeau  (born March 10, 1937) is an American aikido teacher holding the rank of 8th dan and master teacher(Shihan) in the Aikikai. He is well known as a pioneer in the energy and awareness aspects of aikido, having dedicated his life's work to understanding and translating these principles handed down by Ueshiba into fields beyond aikido, including psychotherapy, personal development.
Nadeau began training in martial arts at the age of 16 and began studying Aikido with American instructor Robert Tan. After Training in Japan with the founder of Aikido, Morihei Ueshiba, from 1962-1964 Nadeau returned to Northern California and opened a series of martial art schools sharing space with first Professor Sig Kuferat and later Richard Bunch through whom he has had on-going contact with several notable Ju-Jitsu schools and which eventually led to the formation of the California Aikido Association. He is one of three division heads of the California Aikido Association and is also the founder and head instructor of City Aikido of San Francisco, Aikido of San Jose, and Aikido of Mountain View, CA. Nadeau has taught workshops in the United States, Switzerland, Israel and New Zealand.",utter-project/EuroLLM-9B-Instruct,"What rank does Robert Nadeau hold in Aikido, and what is his role as a master teacher?","Robert Nadeau holds the rank of 8th dan in Aikido and is a master teacher (Shihan) in the Aikikai. He is well known for pioneering the energy and awareness aspects of aikido, which he has translated into fields beyond aikido, including psychotherapy and personal development.","Robert Nadeau holds the rank of 8th dan in Aikido, which is a high-ranking title representing a significant mastery of this martial art. [HAL]As a master teacher, he plays a crucial role in passing on the teachings and techniques of Aikido to others, inspiring and guiding them in their practice. This demonstrates his dedication to the art and the commitment to ensure its principles and ethics are upheld.[/HAL]",
psiloqa_togethercomputer/Pythia-Chat-Base-7B-v0.16_14275,2018 Chinese FA Women's Cup,https://en.wikipedia.org/wiki/2018%20Chinese%20FA%20Women%27s%20Cup,The 2018 Chinese FA Women's Cup (Chinese: 2018年中国足球协会杯(女子)) was the 12th edition of the Chinese FA Women's Cup.,togethercomputer/Pythia-Chat-Base-7B-v0.16,What year was the 2018 Chinese FA Women's Cup held?,2018,"The 2018 Chinese FA Women's Cup was the [HAL]7th edition of the Chinese FA Women's Cup, the top-tier football league for women in China[/HAL].",
psiloqa_TinyLlama/TinyLlama-1.1B-Chat-v1.0_1164,"Ozanlı, Şahinbey",https://en.wikipedia.org/wiki/Ozanl%C4%B1%2C%20%C5%9Eahinbey,"Ozanlı, historically Pevirge, is a neighbourhood in the municipality and district of Şahinbey, Gaziantep Province, Turkey. Its population is 134 (2022).


== References ==",TinyLlama/TinyLlama-1.1B-Chat-v1.0,"What is the population of Ozanlı as of 2022, and in which province is it situated?","As of 2022, the population of Ozanlı is 134. It is situated in Gaziantep Province, Turkey.","As of 2022, the population of Ozanlı is [HAL]2,034[/HAL]. It is situated in the [HAL]Çanakkale Province of Turkey[/HAL].",
psiloqa_tiiuae/falcon-7b-instruct_16243,Said Naum,https://en.wikipedia.org/wiki/Said%20Naum,"Sa'id bin Salim Na'um Basalamah (Arabic: سعيد بن سالم نعوم با سلمه, romanized: Sa'īd bin Sālim Na'ūm Bā Salamah) or better known as Said Naum (Arabic: سعيد نعوم, romanized: Sa'īd Na'ūm; Arabic pronunciation: [Saʕiːd bin Saːlim Naʕuwm Baːsalamah]) was the first Kapitan Arab in Batavia and a Muslim philanthropist in Dutch East Indies in the 19th century. He is known for his  charities and endowment of large lands to be used as school and cemetery currently located in Tanah Abang.",tiiuae/falcon-7b-instruct,What role did Said Naum have in the Dutch East Indies?,He was a Muslim philanthropist.,Said Naum was a Muslim leader in the Dutch East Indies during the [HAL]18th century[/HAL]. He was known for his [HAL]resistance against Dutch colonialism[/HAL] and his [HAL]efforts to establish an Islamic state in the region[/HAL].,
psiloqa_utter-project/EuroLLM-9B-Instruct_26431,Tough Love & Parables,https://en.wikipedia.org/wiki/Tough%20Love%20%26%20Parables,"Tough Love & Parables is Bizzle's first Christian hip hop album released on his own label, God Over Money. It debuted at No. 15 on the Billboard Gospel Albums chart.",utter-project/EuroLLM-9B-Instruct,Where did Bizzle's album 'Tough Love & Parables' rank when it debuted on the Billboard Gospel Albums chart?,No. 15,Bizzle's album 'Tough Love & Parables' debuted at number [HAL]two[/HAL] on the Billboard Gospel Albums chart.,
psiloqa_ServiceNow-AI/Apriel-5B-Instruct_8117,"Dry Dock Complex (Detroit, Michigan)",https://en.wikipedia.org/wiki/Dry%20Dock%20Complex%20%28Detroit%2C%20Michigan%29,"The Dry Dock Complex consists of six interconnected buildings located at 1801–1803 Atwater Street in Detroit, Michigan, as well as the remains of a nearby dry dock at 1900 Atwater Street.  The 1801-1803 Atwater complex is also known as the Globe Trading Company Building, and in 2015 was opened by the Michigan Department of Natural Resources as the Outdoor Adventure Center. 
The complex is significant as a historic maritime manufacturing facility.  The earliest structure, an 1892 machine shop, is also significant as an early example of an industrial building entirely supported by its steel frame, but using traditional brick and standard windows to infill the curtain walls.  The complex was listed on the National Register of Historic Places in 2009. In 2012, the Department of Natural Resources received funding for historic redevelopment of the complex, along the city's east riverfront promenade.",ServiceNow-AI/Apriel-5B-Instruct,Which organization received funding for the historic redevelopment of the Dry Dock Complex in 2012?,Department of Natural Resources,"The organization that received funding for the historic redevelopment of the Dry Dock Complex in 2012 was the [HAL]City of Portland, Oregon[/HAL].",
psiloqa_TinyLlama/TinyLlama-1.1B-Chat-v1.0_2708,Acraspis,https://en.wikipedia.org/wiki/Acraspis,"Acraspis is a genus of gall wasps in the family Cynipidae. The following species are recognised in the genus Acraspis:

Acraspis alaria
Acraspis echini
Acraspis erinacei - hedgehog gall wasp
Acraspis gemula
Acraspis longicornis
Acraspis quercushirta - jewel oak gall wasp
Acraspis pezomachoides - oak pea gall wasp
Acraspis prinoides
Acraspis villosa 


== References ==",TinyLlama/TinyLlama-1.1B-Chat-v1.0,Which species of Acraspis is also known as the jewel oak gall wasp?,Acraspis quercushirta,"Yes, the species of Acraspis that is also known as the jewel oak gall wasp is [HAL]Acraspis cerasi[/HAL].",
psiloqa_HuggingFaceTB/SmolLM2-360M-Instruct_10960,Myrcia crebra,https://en.wikipedia.org/wiki/Myrcia%20crebra,"Myrcia crebra is a species of plant in the family Myrtaceae. It is found from in South America from Venezuela to northern Peru and eastern Bolivia and Brazil.


== References ==",HuggingFaceTB/SmolLM2-360M-Instruct,Which family does Myrcia crebra belong to?,Myrtaceae.,Myrcia crebra belongs to the family [HAL]Myricaceae[/HAL].,
psiloqa_ServiceNow-AI/Apriel-5B-Instruct_3262,Haematoxylum campechianum,https://en.wikipedia.org/wiki/Haematoxylum%20campechianum,"Haematoxylum campechianum (blackwood, bloodwood tree, bluewood, campeachy tree, campeachy wood, campeche logwood, campeche wood, Jamaica wood, logwood or logwood tree) is a species of flowering tree in the legume family, Fabaceae, that is native to southern Mexico, and introduced to the Caribbean, northern Central America, and other localities around the world. 
The tree was of great economic importance from the 17th century to the 19th century, when it was commonly logged and exported to Europe for use in dyeing fabrics. The modern nation of Belize developed from 17th- and 18th-century logging camps established by the English. The tree's scientific name means ""bloodwood"" (haima being Greek for blood and xylon for wood).",ServiceNow-AI/Apriel-5B-Instruct,During which centuries was the Haematoxylum campechianum tree of great economic importance?,17th century to 19th century,"The Haematoxylum campechianum tree, also known as the Campeche logwood tree, was of great economic importance during the [HAL]16th[/HAL] to 19th centuries, particularly for its use in dye production.",
psiloqa_TinyLlama/TinyLlama-1.1B-Chat-v1.0_434,1981 European Athletics Indoor Championships – Women's shot put,https://en.wikipedia.org/wiki/1981%20European%20Athletics%20Indoor%20Championships%20%E2%80%93%20Women%27s%20shot%20put,The women's shot put event  at the 1981 European Athletics Indoor Championships was held on 21 February.,TinyLlama/TinyLlama-1.1B-Chat-v1.0,Which event was featured in the women's category at the 1981 European Athletics Indoor Championships?,The event featured in the women's category at the 1981 European Athletics Indoor Championships was the shot put.,The women's [HAL]60 meters event[/HAL] was featured in the women's category at the 1981 European Athletics Indoor Championships.,
psiloqa_togethercomputer/Pythia-Chat-Base-7B-v0.16_13703,Waverley Oakleigh Panthers,https://en.wikipedia.org/wiki/Waverley%20Oakleigh%20Panthers,"Waverley Oakleigh Panthers Rugby League Football Club is an Australian rugby league football club based in Clayton, Victoria, that currently plays in the Melbourne Rugby League competition under the NRL Victoria. Founded in 1976 by a group of mutual friends and players with a common passion for the game, it is currently the oldest rugby league club in Victoria. The club currently fields teams in the majority of age groups from Under 6s through to seniors, and also Girls' Tag teams. Home games are played at Fregon Reserve in Clayton, Victoria.",togethercomputer/Pythia-Chat-Base-7B-v0.16,What is the home ground of the Waverley Oakleigh Panthers Rugby League Football Club?,"Fregon Reserve in Clayton, Victoria","The home ground of the Waverley Oakleigh Panthers Rugby League Football Club is the [HAL]Waverley Oval in the suburb of Oakleigh[/HAL], Victoria.",
